f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.5,20,110.0,,R290,R600a,1114.82,0.5,1800.0,871.7,918.4,279.07,281.57,590.14,1.0,1.889,0.465,5.7,28.49,92.8,9.74,26.02,117.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,30,110.0,,R290,R600a,1114.82,0.5,1800.0,748.5,813.1,274.34,247.62,549.44,1.0,2.029,0.449,7.42,31.32,96.3,10.88,26.02,117.9,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,40,110.0,,R290,R600a,1114.82,0.5,1800.0,652.0,720.9,269.0,215.04,509.52,1.0,2.188,0.428,9.51,34.36,100.3,12.11,26.02,118.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,50,110.0,,R290,R600a,1114.82,0.5,1800.0,576.5,640.0,263.53,183.8,470.87,1.0,2.368,0.404,11.99,37.64,104.6,13.44,26.02,118.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.5,60,110.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.6,20,110.0,,R290,R600a,1114.82,0.5,1800.0,1008.0,738.4,355.52,221.45,607.33,1.0,1.836,0.452,5.75,33.73,102.8,11.85,26.02,118.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.6,30,110.0,,R290,R600a,1114.82,0.5,1800.0,856.2,671.1,344.55,196.14,569.14,1.0,1.959,0.432,7.49,36.3,105.4,12.89,26.02,118.5,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.6,40,110.0,,R290,R600a,1114.82,0.5,1800.0,738.5,610.4,333.11,171.68,531.36,1.0,2.098,0.41,9.59,39.03,108.3,14.0,26.02,118.7,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.6,50,110.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.6,60,110.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600a,0.7,20,110.0,,R290,R600a,1114.82,0.5,1800.0,1169.5,596.2,450.94,165.7,649.1,1.0,1.718,0.421,5.85,39.74,112.8,14.29,26.02,118.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.7,30,110.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.7,40,110.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=40.5 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600a,0.7,50,110.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.7,60,110.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=100.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.3,20,110.0,,R290,R600,1114.82,0.5,1800.0,702.2,1615.2,175.61,363.1,567.06,1.0,1.966,0.485,5.65,19.89,72.7,4.58,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,30,110.0,,R290,R600,1114.82,0.5,1800.0,612.9,1345.3,177.9,317.34,521.31,1.0,2.139,0.474,7.34,22.96,78.3,5.5,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,40,110.0,,R290,R600,1114.82,0.5,1800.0,541.6,1126.0,179.71,273.49,477.05,1.0,2.337,0.459,9.39,26.38,84.3,6.54,20.23,115.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,50,110.0,,R290,R600,1114.82,0.5,1800.0,485.0,946.5,181.46,231.58,434.77,1.0,2.564,0.439,11.84,30.16,90.7,7.72,20.23,115.9,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.3,60,110.0,,R290,R600,1114.82,0.5,1800.0,440.9,798.7,183.8,191.62,395.18,1.0,2.821,0.412,14.74,34.36,97.4,9.06,20.23,116.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.4,20,110.0,,R290,R600,1114.82,0.5,1800.0,801.7,1278.0,228.93,304.61,561.62,1.0,1.985,0.49,5.63,23.9,82.8,5.78,20.23,115.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.4,30,110.0,,R290,R600,1114.82,0.5,1800.0,690.2,1098.1,227.02,267.38,520.42,1.0,2.142,0.475,7.34,26.89,87.3,6.7,20.23,115.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.4,40,110.0,,R290,R600,1114.82,0.5,1800.0,602.7,946.5,224.68,231.58,480.27,1.0,2.321,0.456,9.4,30.16,92.3,7.72,20.23,115.9,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
