f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600a,R290/R600a,0.6,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.609,0.39,1128.2,1800.0,33.6,90.0,104.7,80.0,105.0,108.6,11.77,37.64,13.44,21.78,635.0,562.9,289.69,121.05,432.36,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.6,60,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.7,20,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.933,0.438,1128.2,1800.0,5.8,86.0,105.2,76.0,105.0,108.3,5.65,35.0,12.36,21.78,1152.0,618.5,411.48,142.89,583.54,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.7,30,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.083,0.418,1128.2,1800.0,15.2,89.0,106.6,79.0,105.0,108.5,7.36,36.96,13.16,21.78,959.4,576.3,388.0,126.44,541.52,R290,R600a,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.7,40,100.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.26,0.395,1128.2,1800.0,24.6,92.0,108.4,82.0,105.0,108.7,9.42,39.03,14.0,21.78,810.1,537.2,363.79,110.4,499.14,R290,R600a,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.7,50,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.7,60,100.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R717,R600,R717/R600,0.3,20,100.0,V_ONLY,V_ONLY,"V_c1, V_c2",V_c2,,2.205,0.503,1128.2,1800.0,4.8,54.0,143.8,44.0,105.0,105.0,5.11,22.52,4.23,16.8,555.4,1599.9,172.77,313.2,511.55,R717-LP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R717,R600,R717/R600,0.3,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.432,0.492,1128.2,1800.0,14.0,61.0,140.4,51.0,105.0,105.2,7.05,26.79,5.09,16.8,449.0,1330.7,170.05,270.62,463.86,R717-LP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.705,0.477,1128.2,1800.0,23.3,68.0,138.2,58.0,105.0,105.7,9.52,31.63,6.08,16.8,368.5,1112.6,166.55,229.73,417.13,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.037,0.457,1128.2,1800.0,32.6,75.0,137.0,65.0,105.0,106.3,12.61,37.1,7.2,16.8,306.5,934.5,162.36,190.57,371.5,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,60,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.449,0.43,1128.2,1800.0,42.0,82.0,136.8,72.0,105.0,106.9,16.41,43.24,8.47,16.8,258.2,788.2,157.6,153.15,327.1,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.248,0.513,1128.2,1800.0,4.6,62.0,165.0,52.0,105.0,105.3,5.09,27.44,5.22,16.8,589.3,1296.7,212.08,264.67,501.84,R717-LP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.469,0.5,1128.2,1800.0,13.9,68.0,158.1,58.0,105.0,105.7,7.03,31.63,6.08,16.8,471.7,1112.6,204.43,229.73,457.01,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.733,0.483,1128.2,1800.0,23.3,74.0,152.6,64.0,105.0,106.2,9.5,36.27,7.03,16.8,383.7,957.8,196.05,196.06,412.75,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.056,0.46,1128.2,1800.0,32.6,80.0,148.6,70.0,105.0,106.7,12.59,41.41,8.09,16.8,316.7,827.2,187.04,163.66,369.16,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,60,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.457,0.431,1128.2,1800.0,42.0,86.0,145.7,76.0,105.0,107.2,16.41,47.08,9.27,16.8,264.9,716.3,177.46,132.54,326.32,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,20,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.271,0.519,1128.2,1800.0,4.5,70.0,185.7,60.0,105.0,105.9,5.07,33.12,6.38,16.8,621.2,1058.0,253.56,218.36,496.75,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.486,0.503,1128.2,1800.0,13.9,75.0,175.4,65.0,105.0,106.3,7.02,37.1,7.2,16.8,493.3,934.5,240.52,190.57,453.78,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.744,0.485,1128.2,1800.0,23.2,80.0,166.9,70.0,105.0,106.7,9.49,41.41,8.09,16.8,398.4,827.2,226.87,163.66,411.09,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.059,0.461,1128.2,1800.0,32.6,85.0,160.0,75.0,105.0,107.1,12.59,46.1,9.06,16.8,326.6,733.6,212.68,137.64,368.76,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,60,100.0,V_ONLY,OK,"V_c1, V_c2",,,3.452,0.43,1128.2,1800.0,42.0,90.0,154.5,80.0,105.0,107.6,16.41,51.16,10.12,16.8,271.5,651.7,198.0,112.5,326.84,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.6,20,100.0,HARD,HARD,"T_c1, V_c1, V_c2",T_c1,,2.274,0.519,1128.2,1800.0,4.5,78.0,205.8,68.0,105.0,106.5,5.07,39.64,7.72,16.8,651.0,868.3,297.04,174.32,496.16,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,False,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.6,30,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.484,0.503,1128.2,1800.0,13.9,82.0,192.4,72.0,105.0,106.9,7.02,43.24,8.47,16.8,513.8,788.2,278.25,153.15,454.1,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.6,40,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.737,0.483,1128.2,1800.0,23.3,86.0,180.9,76.0,105.0,107.2,9.5,47.08,9.27,16.8,412.5,716.3,259.0,132.54,412.14,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
