f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,5000,125.084,33.009
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,5500,122.108,30.008
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,6000,119.628,27.507
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,6500,117.529,25.391
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,7000,115.73,23.578
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,7500,114.171,22.006
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,5000,115.463,30.614
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,5500,112.703,27.831
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,6000,110.402,25.512
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,6500,108.456,23.549
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,7000,106.787,21.867
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,7500,105.342,20.409
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,5000,106.479,28.764
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,5500,103.885,26.149
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,6000,101.724,23.97
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,6500,99.895,22.126
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,7000,98.327,20.546
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,7500,96.969,19.176
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,5000,98.018,27.321
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,5500,95.554,24.837
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,6000,93.501,22.767
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,6500,91.764,21.016
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,7000,90.275,19.515
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,7500,88.985,18.214
R717,R600,R717/R600,0.4,60.0,120.0,2.712,0.453,OK,5000,90.01,26.193
R717,R600,R717/R600,0.4,60.0,120.0,2.712,0.453,OK,5500,87.649,23.812
R717,R600,R717/R600,0.4,60.0,120.0,2.712,0.453,OK,6000,85.681,21.827
