f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,COMP1,295756.4,262.15
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,COMP2,313315.9,277.71
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,IHX,205490.9,182.14
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,SNK_HX,178450.3,158.17
R290,R600,R290/R600,0.5,30.0,100.0,2.333,0.469,OK,SRC_HX,117567.0,104.21
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,COMP1,319232.3,282.96
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,COMP2,282715.3,250.59
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,IHX,207723.2,184.12
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,SNK_HX,179441.0,159.05
R290,R600,R290/R600,0.5,40.0,100.0,2.272,0.426,OK,SRC_HX,88904.6,78.8
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,COMP1,346745.9,307.34
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,COMP2,255963.8,226.88
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,IHX,94248.6,83.54
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,SNK_HX,180365.0,159.87
R290,R600,R290/R600,0.5,50.0,100.0,2.187,0.381,OK,SRC_HX,72877.1,64.6
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,COMP1,379630.5,336.49
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,COMP2,232414.0,206.0
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,IHX,96251.1,85.31
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,SNK_HX,181207.3,160.62
R290,R600,R290/R600,0.5,60.0,100.0,2.077,0.334,OK,SRC_HX,61789.8,54.77
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,COMP1,272851.3,241.85
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,COMP2,451092.3,399.83
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,IHX,218915.8,194.04
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,MOT1,0.0,0.0
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,MOT2,0.0,0.0
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,SNK_HX,179765.3,159.34
R290,R600a,R290/R600a,0.3,20.0,100.0,2.069,0.471,OK,SRC_HX,106908.0,94.76
