f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,SNK_HX,183584.0,162.72
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.252,0.454,OK,SRC_HX,113195.2,100.33
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,COMP1,224163.2,198.69
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,COMP2,253937.7,225.08
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,IHX,89686.8,79.5
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,SNK_HX,184413.8,163.46
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.445,0.429,OK,SRC_HX,117035.4,103.74
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,COMP1,281022.0,249.09
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,COMP2,508298.0,450.54
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,IHX,191578.3,169.81
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,SNK_HX,174749.5,154.89
R290,R600,R290/R600,0.3,20.0,100.0,2.166,0.494,V_OUT,SRC_HX,109843.1,97.36
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,COMP1,248677.3,220.42
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,COMP2,427601.9,379.01
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,IHX,202966.1,179.9
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,SNK_HX,175576.8,155.63
R290,R600,R290/R600,0.3,30.0,100.0,2.369,0.479,OK,SRC_HX,113721.6,100.8
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,COMP1,222765.8,197.45
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,COMP2,364251.5,322.86
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,IHX,213104.9,188.89
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,SNK_HX,177001.5,156.89
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,OK,SRC_HX,117563.5,104.2
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,COMP1,201929.1,178.98
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,COMP2,313315.9,277.71
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,IHX,222301.1,197.04
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,MOT1,0.0,0.0
